sample	Population	Superpopulation	coding_one_allele_non_ref	coding_two_alleles_non_ref	wg_one_allele_non_ref	wg_two_alleles_non_ref
NA20757	TSI	EUR	186	137	242123	257712
HG01988	ACB	AFR	199	148	283871	259938
NA20348	ASW	AFR	228	136	285626	279321
HG03401	MSL	AFR	214	165	280074	289633
HG01884	ACB	AFR	238	133	285733	281831
NA19310	LWK	AFR	236	147	279171	287888
HG03367	ESN	AFR	240	150	278248	286857
NA19438	LWK	AFR	228	142	283033	284952
HG02596	GWD	AFR	194	151	273784	282891
HG01895	ACB	AFR	234	146	285820	278682
NA18874	YRI	AFR	200	162	277040	283098
HG01894	ACB	AFR	213	158	284431	279612
NA19100	YRI	AFR	209	155	276847	282464
NA18487	YRI	AFR	209	154	275772	281840
HG02948	ESN	AFR	216	146	279030	284017
NA19184	YRI	AFR	206	140	276453	284007
HG02971	ESN	AFR	216	150	277146	285143
NA19319	LWK	AFR	196	157	282835	286325
HG03041	GWD	AFR	219	154	276113	281353
NA18504	YRI	AFR	202	162	275956	283656
HG03300	ESN	AFR	213	158	274779	286529
NA19474	LWK	AFR	235	146	285789	286109
HG03578	MSL	AFR	212	170	280087	287715
HG03040	GWD	AFR	212	158	275246	282361
HG03099	ESN	AFR	229	170	278128	285257
HG00743	PUR	AMR	186	140	251256	257687
HG03368	ESN	AFR	224	148	275466	286171
HG02594	GWD	AFR	198	161	279552	281084
HG00552	PUR	AMR	199	130	253599	252857
HG01075	PUR	AMR	187	140	253224	255277
NA10845	CEU	EUR	178	135	246876	251133
NA10838	CEU	EUR	183	136	242749	253509
NA20799	TSI	EUR	176	133	242766	257631
NA19443	LWK	AFR	199	155	283567	285189
HG00327	FIN	EUR	151	152	243345	259400
NA12003	CEU	EUR	179	145	243875	252567
HG02505	ACB	AFR	220	154	283373	279586
HG02923	ESN	AFR	211	151	277343	284587
NA18498	YRI	AFR	209	154	275990	283542
HG02924	ESN	AFR	220	146	278184	283716
NA19138	YRI	AFR	212	150	274525	282697
NA18862	YRI	AFR	236	144	279334	279982
NA19001	JPT	EAS	166	155	227318	277269
HG02462	GWD	AFR	202	150	280252	280276
HG02807	GWD	AFR	241	159	279089	279441
NA19237	YRI	AFR	195	153	277856	283070
HG03061	MSL	AFR	229	159	278531	287560
NA20519	TSI	EUR	192	144	240907	259652
HG03538	GWD	AFR	216	148	275751	282493
HG03640	PJL	SAS	207	138	238906	263800
NA19428	LWK	AFR	236	154	283517	284895
NA19107	YRI	AFR	203	152	274294	283923
HG03267	ESN	AFR	227	154	276926	284915
HG02816	GWD	AFR	215	159	275245	282828
NA18852	YRI	AFR	216	152	278377	281235
NA19202	YRI	AFR	200	160	276150	284171
HG03565	MSL	AFR	218	164	282161	287600
HG00336	FIN	EUR	198	131	243308	256817
NA21119	GIH	SAS	187	147	240776	264994
HG02561	GWD	AFR	217	152	279566	281095
HG03029	GWD	AFR	206	150	277610	281914
HG02315	ACB	AFR	235	140	284407	277678
HG02334	ACB	AFR	231	138	286266	269425
HG04150	BEB	SAS	181	144	243959	261080
HG03487	PJL	SAS	188	132	249233	256984
HG03082	MSL	AFR	234	144	279892	289087
HG03489	PJL	SAS	166	139	246190	257799
HG00107	GBR	EUR	179	139	243748	257267
HG01705	IBS	EUR	182	142	247709	255362
NA21115	GIH	SAS	187	146	244971	262406
NA19256	YRI	AFR	203	146	276191	282755
HG03584	MSL	AFR	216	149	280482	289246
HG02880	GWD	AFR	194	151	280000	280400
HG01515	IBS	EUR	177	144	241722	256447
HG02563	GWD	AFR	212	151	277433	281226
HG01109	PUR	AMR	251	127	286261	257638
NA19403	LWK	AFR	224	145	283842	282169
NA20298	ASW	AFR	223	150	282186	288072
NA20847	GIH	SAS	188	142	243340	262448
HG03052	MSL	AFR	210	150	282344	288627
HG02026	KHV	EAS	171	135	228079	275332
HG02302	PEL	AMR	183	142	239361	265210
NA19778	MXL	AMR	201	134	253997	261909
NA20508	TSI	EUR	194	131	237598	259926
HG01840	KHV	EAS	181	148	229563	274721
HG01494	CLM	AMR	189	130	251597	261387
HG02569	GWD	AFR	233	145	278059	280213
HG04212	ITU	SAS	170	154	238681	265761
HG01679	IBS	EUR	176	141	236983	260239
HG01087	PUR	AMR	210	134	258082	255602
HG02943	ESN	AFR	204	162	275043	285910
NA19160	YRI	AFR	229	147	277099	282704
HG01509	IBS	EUR	189	137	248050	254369
HG02256	ACB	AFR	237	131	288294	269288
HG03606	BEB	SAS	180	145	246119	261174
HG03385	MSL	AFR	228	148	277646	289905
NA19028	LWK	AFR	228	147	282701	285770
HG02055	ACB	AFR	196	145	285204	278828
HG03634	PJL	SAS	173	144	246983	257295
HG02984	GWD	AFR	207	151	277650	282142
NA18962	JPT	EAS	163	146	229802	275816
NA19379	LWK	AFR	214	159	283688	285562
NA19669	MXL	AMR	181	132	244988	260504
HG01916	ACB	AFR	206	154	281207	279922
NA12347	CEU	EUR	168	151	244813	251069
NA19121	YRI	AFR	217	156	272875	283910
NA19355	LWK	AFR	234	147	284452	285916
HG01273	CLM	AMR	211	138	262226	256870
HG01883	ACB	AFR	203	155	283653	277228
NA21127	GIH	SAS	199	143	247357	262077
NA20853	GIH	SAS	181	141	241334	264981
NA19114	YRI	AFR	217	155	275240	283305
HG00736	PUR	AMR	200	132	247794	255079
NA21092	GIH	SAS	185	134	243061	264069
HG03191	ESN	AFR	223	140	277700	284909
NA19141	YRI	AFR	201	157	273049	284067
HG02502	ACB	AFR	205	160	283661	274854
HG03460	MSL	AFR	204	158	281264	287815
HG02966	ESN	AFR	240	146	276531	285089
HG02878	GWD	AFR	203	139	278012	280404
HG03824	BEB	SAS	187	145	242349	263684
HG03779	ITU	SAS	175	155	246345	263640
HG03303	ESN	AFR	228	152	276879	283706
HG02679	GWD	AFR	220	163	278709	281558
NA12489	CEU	EUR	199	134	242986	253263
HG01375	CLM	AMR	187	155	258378	258184
HG00608	CHS	EAS	195	135	227007	273707
NA19671	MXL	AMR	193	141	251848	258066
HG03577	MSL	AFR	216	143	279216	287134
NA18868	YRI	AFR	218	155	277614	281636
NA21094	GIH	SAS	176	152	243960	263655
HG03436	MSL	AFR	204	150	279303	289422
HG02222	IBS	EUR	173	124	245760	253376
HG02884	GWD	AFR	206	157	276931	282109
NA19099	YRI	AFR	221	166	279893	281700
NA19215	YRI	AFR	210	151	276640	283625
HG00236	GBR	EUR	186	150	239159	261410
NA19391	LWK	AFR	219	153	280941	286925
HG01374	CLM	AMR	197	154	244879	258473
NA20507	TSI	EUR	186	143	235524	261158
HG02676	GWD	AFR	201	167	277127	280552
HG03484	MSL	AFR	222	149	281312	288052
NA19024	LWK	AFR	200	173	283639	285110
HG02952	ESN	AFR	194	171	276156	285772
HG03720	ITU	SAS	185	139	243399	264788
HG01092	PUR	AMR	202	135	267041	256696
NA19780	MXL	AMR	177	144	246348	261784
HG02735	PJL	SAS	191	139	250081	256387
HG02734	PJL	SAS	175	151	218333	274284
HG02978	ESN	AFR	236	139	279105	283487
HG01403	PUR	AMR	210	142	258671	255583
HG00337	FIN	EUR	187	131	244544	257589
HG02356	CDX	EAS	166	157	224886	278333
HG03574	MSL	AFR	220	168	279946	287806
NA19920	ASW	AFR	227	144	282955	283927
NA12872	CEU	EUR	192	136	243994	253039
HG03922	BEB	SAS	177	151	244816	261430
NA20849	GIH	SAS	180	136	240609	265909
HG02852	GWD	AFR	196	157	272802	282937
HG03021	PJL	SAS	172	148	242869	262532
HG03088	MSL	AFR	213	147	280243	287705
HG01133	CLM	AMR	194	130	250464	254282
HG01162	PUR	AMR	194	151	254832	257808
HG03736	STU	SAS	185	143	244888	261869
NA12376	CEU	EUR	186	140	242245	252511
HG01073	PUR	AMR	213	136	251740	253897
HG03925	BEB	SAS	202	141	248940	260220
HG01611	IBS	EUR	195	139	247426	253143
HG02051	ACB	AFR	237	145	282284	283917
NA19468	LWK	AFR	222	145	282415	285015
HG01770	IBS	EUR	171	139	243988	255016
HG04063	ITU	SAS	172	145	237741	268227
HG02476	ACB	AFR	213	143	284777	276160
NA19221	YRI	AFR	209	148	275720	282594
HG03973	ITU	SAS	180	151	244155	263882
NA20858	GIH	SAS	186	156	247250	258659
HG02702	GWD	AFR	238	147	276737	281686
HG04144	BEB	SAS	186	139	244114	261906
HG01130	CLM	AMR	196	134	254443	254955
NA19782	MXL	AMR	196	144	247775	263059
NA21091	GIH	SAS	209	142	242882	263139
HG03250	GWD	AFR	212	143	279022	280053
HG00106	GBR	EUR	179	134	243876	258825
HG02870	GWD	AFR	212	150	275566	282368
HG03452	MSL	AFR	214	168	280595	287504
HG01583	PJL	SAS	203	138	250177	258100
HG02896	GWD	AFR	225	154	273385	285105
NA20585	TSI	EUR	182	141	229401	264175
HG03113	ESN	AFR	206	146	275148	284746
HG01882	ACB	AFR	230	145	284686	281726
HG03291	ESN	AFR	210	155	278113	284639
NA12044	CEU	EUR	179	135	243758	253053
NA21104	GIH	SAS	195	145	242565	263807
HG02660	PJL	SAS	189	132	241270	261829
NA19128	YRI	AFR	226	134	277739	282191
NA18877	YRI	AFR	203	162	278054	282778
HG02879	GWD	AFR	204	162	274406	283293
HG03968	ITU	SAS	178	153	243438	264263
NA19781	MXL	AMR	183	129	253691	257141
HG01354	CLM	AMR	174	147	245788	255903
NA19147	YRI	AFR	230	134	275868	284028
HG03269	ESN	AFR	223	159	276125	284307
NA20890	GIH	SAS	192	147	242858	262719
HG03363	ESN	AFR	214	148	274888	285883
HG03419	MSL	AFR	217	156	279867	288993
NA19236	YRI	AFR	199	148	278445	282522
HG04180	BEB	SAS	185	141	246287	262030
HG01602	IBS	EUR	183	143	244405	257265
NA19625	ASW	AFR	230	137	290846	269511
NA19705	ASW	AFR	233	154	283971	280984
HG03352	ESN	AFR	202	144	274461	286192
NA19204	YRI	AFR	230	154	276370	281377
NA20869	GIH	SAS	181	146	242706	263734
HG03172	ESN	AFR	235	153	275495	286409
NA19030	LWK	AFR	223	151	280225	285771
NA19818	ASW	AFR	215	131	281990	274659
HG03225	MSL	AFR	235	144	282470	287787
HG03725	ITU	SAS	182	148	243546	265009
HG04136	BEB	SAS	203	132	247230	260508
HG01612	IBS	EUR	189	131	245478	255344
HG01100	PUR	AMR	204	137	259636	256472
HG03557	MSL	AFR	247	149	282545	287374
HG03868	ITU	SAS	195	140	243311	263063
NA19258	YRI	AFR	219	145	280414	280853
HG01757	IBS	EUR	194	140	245114	256152
HG01071	PUR	AMR	196	141	252027	255991
HG02886	GWD	AFR	220	146	279647	279891
NA18991	JPT	EAS	159	153	227857	277124
NA21135	GIH	SAS	187	152	243984	262971
NA11839	CEU	EUR	170	139	242470	253776
HG01085	PUR	AMR	193	124	258333	256309
NA19338	LWK	AFR	219	155	284016	284781
HG00345	FIN	EUR	162	143	242929	259144
HG03866	ITU	SAS	196	135	244873	263665
HG03951	STU	SAS	183	136	245039	262182
HG02817	GWD	AFR	236	163	275353	282798
HG03026	GWD	AFR	201	164	276959	282984
HG02981	ESN	AFR	208	153	278290	285429
NA19122	YRI	AFR	205	158	276523	282718
HG04211	ITU	SAS	145	166	207613	282319
NA20504	TSI	EUR	184	143	240924	257484
HG00325	FIN	EUR	170	142	238091	259891
NA20884	GIH	SAS	220	128	237096	266027
NA19041	LWK	AFR	214	147	281731	285323
HG03110	ESN	AFR	209	155	276552	285336
HG01139	CLM	AMR	196	151	258852	258748
NA19327	LWK	AFR	198	145	281997	284000
NA18881	YRI	AFR	209	152	277136	283260
HG03969	ITU	SAS	181	153	241762	264667
HG01521	IBS	EUR	169	144	242013	255843
HG04140	BEB	SAS	193	141	242371	262430
HG03376	MSL	AFR	213	148	276406	289996
NA12546	CEU	EUR	201	129	241960	256392
HG02232	IBS	EUR	197	143	245634	253299
HG04239	ITU	SAS	205	139	243129	262664
HG03351	ESN	AFR	206	167	276337	284313
HG03111	ESN	AFR	213	151	277208	284437
NA12760	CEU	EUR	195	133	240162	254527
HG02318	ACB	AFR	206	147	280779	282841
HG03755	STU	SAS	193	149	246181	262175
HG03816	BEB	SAS	188	126	243083	262332
NA19834	ASW	AFR	246	142	290998	273065
HG00150	GBR	EUR	188	136	246347	257771
NA21126	GIH	SAS	200	125	242193	264411
HG03520	ESN	AFR	203	152	279721	284785
HG03514	ESN	AFR	219	143	280279	284276
NA18508	YRI	AFR	206	164	281618	281242
NA11933	CEU	EUR	195	142	245842	252477
HG03310	ESN	AFR	208	170	275588	285043
HG00343	FIN	EUR	181	133	243952	258083
NA20544	TSI	EUR	202	136	239375	258173
HG03684	STU	SAS	172	150	243107	266216
HG03369	ESN	AFR	218	147	278678	282879
NA19779	MXL	AMR	184	129	252817	257967
HG03636	PJL	SAS	175	136	243785	258779
NA19393	LWK	AFR	229	147	283536	286840
NA20826	TSI	EUR	175	136	244644	257923
HG03522	ESN	AFR	214	142	276764	284017
NA18517	YRI	AFR	215	164	276565	281472
HG03907	BEB	SAS	188	136	241657	265435
NA19190	YRI	AFR	221	133	279253	282044
HG04039	STU	SAS	196	136	244087	263470
HG03790	ITU	SAS	203	138	243238	263345
HG03731	ITU	SAS	175	140	241758	265122
HG03746	STU	SAS	194	143	246834	260228
HG01169	PUR	AMR	195	129	253889	255255
NA19043	LWK	AFR	208	145	281237	283607
NA19700	ASW	AFR	222	151	286073	278815
HG01958	ACB	AFR	223	140	287214	274009
HG03096	MSL	AFR	206	173	279893	288599
HG03453	MSL	AFR	231	145	280203	288882
HG03193	ESN	AFR	211	149	279302	283018
HG03717	ITU	SAS	197	150	240103	266686
HG01497	CLM	AMR	183	135	246854	260600
NA19132	YRI	AFR	214	149	276591	281956
HG00375	FIN	EUR	184	137	239056	259542
HG03109	ESN	AFR	231	149	279714	283847
HG03299	ESN	AFR	197	160	278274	284069
NA19139	YRI	AFR	194	156	279202	280011
HG03999	STU	SAS	174	147	244320	261504
HG02590	GWD	AFR	224	154	278023	281474
HG01113	CLM	AMR	193	139	249893	256026
HG02464	GWD	AFR	214	143	276720	284472
HG01125	CLM	AMR	177	159	255499	257250
NA19137	YRI	AFR	215	144	274994	281533
HG02688	PJL	SAS	169	131	243943	260217
NA12248	CEU	EUR	197	127	240898	253613
NA19148	YRI	AFR	195	149	277131	282508
HG02554	ACB	AFR	203	161	285548	278040
NA20539	TSI	EUR	182	144	237901	259809
NA18499	YRI	AFR	216	151	276712	283033
HG04115	STU	SAS	186	152	241948	265347
NA20513	TSI	EUR	193	125	238376	258789
NA21129	GIH	SAS	216	125	239420	266030
HG04033	STU	SAS	183	141	243616	263467
HG02419	ACB	AFR	219	153	279472	283497
HG03311	ESN	AFR	216	161	277233	284282
HG03302	ESN	AFR	213	158	274178	286267
HG01885	ACB	AFR	214	138	282987	283064
HG01112	CLM	AMR	201	139	245328	256342
HG03605	BEB	SAS	206	127	246198	261522
NA20762	TSI	EUR	184	148	245692	256842
HG01674	IBS	EUR	188	141	246283	252465
HG02308	ACB	AFR	216	150	285487	276829
HG00185	FIN	EUR	174	143	243669	257498
HG01989	ACB	AFR	207	159	284005	275165
HG02968	ESN	AFR	212	147	276982	285524
NA18946	JPT	EAS	167	135	224513	278612
HG03166	ESN	AFR	214	160	273344	287029
HG03301	ESN	AFR	225	153	277407	285032
HG03589	BEB	SAS	191	145	243672	261927
NA07055	CEU	EUR	168	145	242318	254664
NA19035	LWK	AFR	189	163	283189	286076
HG03017	PJL	SAS	192	148	247021	260298
NA21116	GIH	SAS	172	134	242813	263610
HG02280	ACB	AFR	225	143	284541	278530
NA11840	CEU	EUR	184	133	241724	253550
HG01106	PUR	AMR	187	144	250206	255657
NA19103	YRI	AFR	217	155	279830	281590
HG03777	ITU	SAS	196	137	243284	264019
HG02466	GWD	AFR	202	154	277963	282534
HG03304	ESN	AFR	241	144	278478	283316
HG02292	PEL	AMR	167	144	217680	275529
HG03085	MSL	AFR	242	149	281396	289944
HG02838	GWD	AFR	222	164	278042	280635
HG02972	ESN	AFR	219	139	279184	284052
HG02763	GWD	AFR	219	153	267056	286148
NA19222	YRI	AFR	206	151	276410	283342
HG04060	ITU	SAS	196	135	245825	263104
HG02668	GWD	AFR	227	150	277117	281835
HG03130	ESN	AFR	219	147	277067	286030
NA18909	YRI	AFR	220	155	279713	281506
NA20339	ASW	AFR	224	148	279347	286606
NA19776	MXL	AMR	199	140	256705	260941
NA19123	YRI	AFR	203	153	275883	282197
NA19023	LWK	AFR	221	148	279724	287342
NA19174	YRI	AFR	234	137	276804	280876
HG03478	MSL	AFR	208	152	279819	287635
HG04090	ITU	SAS	183	136	239861	266304
HG03305	ESN	AFR	235	147	277959	282588
NA20770	TSI	EUR	176	146	245465	256379
HG02953	ESN	AFR	205	153	273545	286382
HG02585	GWD	AFR	209	160	276219	281817
NA19909	ASW	AFR	208	155	282617	282390
NA19248	YRI	AFR	171	156	277364	282426
NA19223	YRI	AFR	217	143	276750	282010
HG04155	BEB	SAS	204	134	246387	260773
NA20294	ASW	AFR	220	150	285579	280719
HG00157	GBR	EUR	198	128	246011	257615
NA18865	YRI	AFR	207	162	278859	281712
HG04157	BEB	SAS	207	135	248683	260227
HG01437	CLM	AMR	198	143	246315	257234
HG03559	MSL	AFR	194	162	279820	287443
HG01395	PUR	AMR	191	140	251747	253279
HG03745	STU	SAS	166	155	239606	266923
NA20279	ASW	AFR	228	144	282468	265490
HG02053	ACB	AFR	217	144	284039	281900
HG02790	PJL	SAS	184	141	241618	262357
HG02588	GWD	AFR	221	152	276783	282147
HG02776	PJL	SAS	177	133	241440	261459
HG01504	IBS	EUR	172	144	246373	254733
NA19153	YRI	AFR	188	157	275714	283021
NA18497	YRI	AFR	218	144	277094	281948
NA19154	YRI	AFR	213	153	277684	281004
HG01376	CLM	AMR	183	157	255348	257304
HG02891	GWD	AFR	223	144	277795	281538
HG02316	ACB	AFR	218	145	281974	280144
HG01778	IBS	EUR	172	137	245726	253777
NA18876	YRI	AFR	194	140	277835	280796
HG03350	ESN	AFR	201	155	277699	284171
HG02775	PJL	SAS	193	136	241807	263089
HG01985	ACB	AFR	231	135	282989	281118
HG02703	GWD	AFR	197	170	272664	284899
HG03618	PJL	SAS	188	132	242709	259265
HG02570	GWD	AFR	205	151	276615	282843
NA20821	TSI	EUR	184	128	244617	256734
NA20346	ASW	AFR	228	148	285893	277784
HG00378	FIN	EUR	181	144	242681	257607
HG02721	GWD	AFR	231	143	275949	282034
NA19130	YRI	AFR	212	162	275460	284016
HG01280	CLM	AMR	173	149	249338	256556
HG01707	IBS	EUR	165	139	245833	255840
NA19214	YRI	AFR	207	153	278916	281752
NA18523	YRI	AFR	215	149	279226	281391
HG02587	GWD	AFR	221	149	278965	278742
NA20878	GIH	SAS	196	151	242122	263384
HG01889	ACB	AFR	209	148	281262	284893
HG02546	ACB	AFR	187	159	282624	280424
NA18906	YRI	AFR	215	143	281255	280208
HG01762	IBS	EUR	171	146	240500	257398
HG04098	ITU	SAS	186	153	245332	262999
HG00737	PUR	AMR	207	130	252064	256546
NA18916	YRI	AFR	195	150	278143	282996
HG03782	ITU	SAS	185	147	244356	265318
HG00651	CHS	EAS	170	143	230405	272465
HG02728	PJL	SAS	203	134	246110	260272
NA21117	GIH	SAS	215	148	243800	263326
NA20866	GIH	SAS	194	140	245934	262024
HG03789	ITU	SAS	187	140	246766	260604
HG03516	ESN	AFR	222	150	277679	284841
HG03237	PJL	SAS	179	146	245531	257947
HG03121	ESN	AFR	216	157	276336	285615
HG02257	ACB	AFR	238	134	286304	273047
HG02010	ACB	AFR	237	138	283262	274928
HG02666	GWD	AFR	208	145	276187	283367
HG02465	GWD	AFR	210	153	276518	284222
HG03624	PJL	SAS	209	138	245477	258209
HG03863	ITU	SAS	171	145	243584	265330
NA20845	GIH	SAS	204	133	247337	263076
HG03862	ITU	SAS	154	159	217467	278712
NA10835	CEU	EUR	184	133	240775	253433
HG01608	IBS	EUR	188	136	245844	255085
NA19038	LWK	AFR	202	151	279571	287365
HG03978	ITU	SAS	187	143	243645	265264
NA07014	CEU	EUR	175	129	243129	252594
NA19913	ASW	AFR	208	132	284622	279160
NA18869	YRI	AFR	225	147	278727	282155
NA19462	LWK	AFR	215	160	282565	285539
HG03189	ESN	AFR	203	149	278231	285511
HG02642	GWD	AFR	213	161	274173	283937
HG03190	ESN	AFR	212	155	270005	287752
NA20521	TSI	EUR	194	135	242750	256391
HG02568	GWD	AFR	213	144	276200	282313
NA12058	CEU	EUR	172	144	241408	254779
HG00139	GBR	EUR	193	152	243817	259501
NA19657	MXL	AMR	185	164	247158	263799
HG03296	ESN	AFR	209	151	278566	282091
NA07051	CEU	EUR	174	130	239583	253603
HG02890	GWD	AFR	205	157	277377	281526
HG02772	GWD	AFR	223	154	276774	282918
HG03575	MSL	AFR	208	154	279748	289227
HG03066	MSL	AFR	227	153	282785	289073
HG02636	GWD	AFR	192	169	277686	282980
HG03039	GWD	AFR	229	159	274661	284796
NA19200	YRI	AFR	194	162	276013	283772
NA18878	YRI	AFR	224	149	275387	284284
HG02586	GWD	AFR	193	162	276160	282106
HG03556	MSL	AFR	223	152	282061	286995
HG03451	MSL	AFR	206	153	279560	290131
HG03129	ESN	AFR	225	156	272145	286846
HG02095	ACB	AFR	201	155	281575	281374
HG02396	CDX	EAS	177	153	228551	278317
NA19351	LWK	AFR	219	158	279690	286166
NA12234	CEU	EUR	194	126	239263	256053
NA19321	LWK	AFR	208	156	284477	285765
NA18930	YRI	AFR	219	153	275723	282690
NA19145	YRI	AFR	226	151	276289	282984
HG03073	MSL	AFR	211	155	280227	287676
HG03028	GWD	AFR	223	134	276731	283589
HG03268	ESN	AFR	243	160	273609	285824
HG02973	ESN	AFR	213	149	277545	285383
HG02583	GWD	AFR	217	151	276297	283574
NA18530	CHB	EAS	164	153	228829	275229
HG03344	ESN	AFR	227	140	278030	283807
NA19201	YRI	AFR	240	141	272330	284928
NA19143	YRI	AFR	205	158	276378	283489
HG00664	CHS	EAS	170	159	226339	272832
NA18543	CHB	EAS	160	154	230768	276240
NA18638	CHB	EAS	164	147	231311	275063
HG00613	CHS	EAS	187	146	229540	271273
HG03873	ITU	SAS	176	150	245140	264352
HG03105	ESN	AFR	207	154	273724	287476
NA19466	LWK	AFR	220	151	285263	283161
HG02630	GWD	AFR	208	143	279869	281391
HG03583	MSL	AFR	233	144	281675	288986
HG01890	ACB	AFR	190	171	285550	277570
NA18914	YRI	AFR	217	149	279011	281009
HG02806	GWD	AFR	203	150	277084	282886
NA19108	YRI	AFR	214	153	275808	283479
HG04132	BEB	SAS	194	133	244139	261106
HG02230	IBS	EUR	191	127	245718	253674
HG02562	GWD	AFR	229	143	279879	280908
HG01082	PUR	AMR	198	129	264702	254312
HG03380	MSL	AFR	188	163	282020	289128
HG00324	FIN	EUR	156	143	236759	261995
HG03235	PJL	SAS	221	125	250267	257837
NA19091	JPT	EAS	156	160	224008	277727
HG01413	PUR	AMR	198	154	256286	256276
HG02229	IBS	EUR	186	136	243393	253458
HG01206	PUR	AMR	163	141	255038	256520
HG01286	PUR	AMR	190	133	267120	254328
HG03236	PJL	SAS	186	138	243250	260087
HG01616	IBS	EUR	201	126	246092	253178
HG03804	BEB	SAS	181	143	245569	261132
NA20769	TSI	EUR	173	137	245596	256305
HG00269	FIN	EUR	171	149	239632	259617
HG02558	ACB	AFR	231	157	283797	279514
HG02860	GWD	AFR	224	146	278166	281247
NA18854	YRI	AFR	228	151	276543	283094
NA12802	CEU	EUR	178	141	243171	252607
NA19317	LWK	AFR	211	161	282249	284825
HG01811	CDX	EAS	166	156	226416	277942
HG01589	PJL	SAS	194	147	237147	265553
HG01519	IBS	EUR	156	143	242173	254995
NA19472	LWK	AFR	231	139	282024	286039
HG01701	IBS	EUR	192	135	240211	255106
HG02780	PJL	SAS	189	134	227082	269785
HG00142	GBR	EUR	184	139	248213	257122
HG02224	IBS	EUR	172	145	244935	252831
HG01772	IBS	EUR	170	138	248070	251467
NA18983	JPT	EAS	152	163	224346	279442
HG02002	PEL	AMR	187	133	229642	272143
HG02073	KHV	EAS	179	151	228504	274408
HG02653	PJL	SAS	185	137	247338	257570
HG00472	CHS	EAS	179	144	225962	273404
HG03103	ESN	AFR	216	148	273695	286300
HG02723	GWD	AFR	205	152	278035	282087
HG01097	PUR	AMR	189	128	252213	255793
NA19117	YRI	AFR	218	153	275349	282717
HG03057	MSL	AFR	221	152	277193	290827
NA19683	MXL	AMR	184	141	244180	263047
HG00615	CHS	EAS	170	153	227752	272498
NA20868	GIH	SAS	185	137	244711	264293
HG01610	IBS	EUR	176	146	242763	257262
HG00330	FIN	EUR	179	137	245414	258701
HG03298	ESN	AFR	195	164	275426	285340
NA21103	GIH	SAS	201	144	242396	264466
HG04056	ITU	SAS	166	157	218164	277325
HG01490	CLM	AMR	197	140	252884	255172
NA18957	JPT	EAS	174	149	225057	278212
NA19144	YRI	AFR	213	146	277352	283261
NA18987	JPT	EAS	179	152	216342	282539
HG03449	MSL	AFR	231	157	281607	288602
HG00235	GBR	EUR	187	144	244550	258322
HG01791	GBR	EUR	164	136	241984	259462
HG01976	PEL	AMR	195	140	231640	270063
HG03986	STU	SAS	198	140	244199	263134
NA12878	CEU	EUR	193	138	242993	253665
HG00356	FIN	EUR	177	133	242409	259229
HG01586	PJL	SAS	170	148	247201	259864
HG03132	ESN	AFR	216	158	277388	284601
HG03687	STU	SAS	188	149	235941	267735
HG01111	PUR	AMR	187	137	253959	256281
NA19783	MXL	AMR	172	155	231433	268314
HG00703	CHS	EAS	181	143	228233	272865
HG02273	PEL	AMR	132	163	200327	285374
HG04059	ITU	SAS	193	139	243831	265062
HG03858	STU	SAS	185	168	225945	273423
HG00560	CHS	EAS	160	159	226898	272662
HG00623	CHS	EAS	175	150	227955	274897
HG03985	STU	SAS	184	160	234169	268993
HG03025	GWD	AFR	201	155	277479	284027
HG04209	ITU	SAS	187	143	229346	271006
NA18977	JPT	EAS	169	151	227717	275518
HG01917	PEL	AMR	156	155	224498	273344
HG02634	GWD	AFR	206	165	275476	282689
HG02077	KHV	EAS	182	147	226104	274760
HG02855	GWD	AFR	206	146	276495	282695
HG01849	KHV	EAS	195	154	230433	272018
HG02451	ACB	AFR	225	151	282632	281525
HG03787	ITU	SAS	183	135	245622	263871
HG01567	PEL	AMR	204	134	242015	264025
NA12776	CEU	EUR	189	135	246159	253767
HG00705	CHS	EAS	185	153	225138	273107
NA19309	LWK	AFR	195	149	282253	285962
HG03815	BEB	SAS	182	136	247645	260245
HG03851	STU	SAS	181	147	244787	263010
HG01617	IBS	EUR	189	131	245507	255557
HG03733	STU	SAS	194	139	236421	265367
HG03706	PJL	SAS	196	133	242592	261672
HG03943	STU	SAS	183	143	241469	264890
HG00566	CHS	EAS	182	145	226459	272192
NA18563	CHB	EAS	187	142	230715	275670
NA20852	GIH	SAS	203	133	243436	263589
NA19372	LWK	AFR	201	154	282366	286620
HG02683	PJL	SAS	183	144	229786	269116
HG03563	MSL	AFR	220	147	278579	287253
HG03620	PJL	SAS	194	122	249919	255017
HG02521	KHV	EAS	179	146	231506	272362
HG02184	CDX	EAS	178	147	232889	276531
HG02964	ESN	AFR	229	161	275734	285615
HG01881	ACB	AFR	234	150	286527	268427
HG01954	PEL	AMR	175	157	217832	278779
HG00698	CHS	EAS	175	147	229330	273237
HG00879	CDX	EAS	168	145	227084	277220
HG04133	BEB	SAS	177	133	243252	260881
HG00187	FIN	EUR	200	143	240077	260037
HG04177	BEB	SAS	176	155	241232	264004
HG02680	GWD	AFR	238	152	276998	281302
HG02492	PJL	SAS	194	137	250855	255621
HG03629	PJL	SAS	185	138	248551	259038
HG02239	IBS	EUR	183	133	247786	255700
HG02028	KHV	EAS	178	143	229112	274873
HG03492	PJL	SAS	185	123	247081	258955
NA12778	CEU	EUR	183	123	239384	257032
NA12144	CEU	EUR	187	134	239600	254703
