sample	Population	Superpopulation	coding_one_allele_non_ref	coding_two_alleles_non_ref	wg_one_allele_non_ref	wg_two_alleles_non_ref
NA20778	TSI	EUR	188	142	242069	257181
HG03794	BEB	SAS	194	145	247817	262452
NA18559	CHB	EAS	158	166	227282	276432
HG01341	CLM	AMR	188	130	242076	261549
HG02032	KHV	EAS	180	150	228218	274986
HG03084	MSL	AFR	224	145	281723	288774
NA10861	CEU	EUR	204	125	242585	253091
HG01325	PUR	AMR	181	140	254401	257765
HG04062	ITU	SAS	213	143	244784	265669
HG01918	PEL	AMR	165	154	227607	271539
NA18547	CHB	EAS	180	147	226712	277233
HG00321	FIN	EUR	177	152	245154	257477
HG00428	CHS	EAS	156	143	223008	274429
HG02056	KHV	EAS	171	133	229585	272135
HG03919	BEB	SAS	180	148	247558	260730
HG02697	PJL	SAS	190	139	243677	261118
HG03965	ITU	SAS	200	126	243213	264890
NA19376	LWK	AFR	217	152	282971	284955
NA19445	LWK	AFR	227	152	283199	284782
HG02015	KHV	EAS	160	150	231161	272278
HG01052	PUR	AMR	210	134	266279	256110
HG00734	PUR	AMR	193	139	252541	256780
HG02675	GWD	AFR	236	152	275075	282989
NA19390	LWK	AFR	199	172	280815	288009
HG01950	PEL	AMR	169	156	229302	273417
NA19435	LWK	AFR	217	154	282070	286884
NA19082	JPT	EAS	166	153	227135	277483
HG01993	PEL	AMR	172	151	224239	273399
HG03761	PJL	SAS	189	146	247517	258110
NA19314	LWK	AFR	230	150	283595	283998
HG03123	ESN	AFR	207	152	277740	284930
HG00699	CHS	EAS	172	132	229429	272757
NA18544	CHB	EAS	163	145	227278	275865
HG00342	FIN	EUR	167	142	241616	258561
NA19759	MXL	AMR	166	154	233787	268944
NA21088	GIH	SAS	195	135	241436	264605
NA20850	GIH	SAS	190	148	247343	258745
HG01149	CLM	AMR	201	144	258698	258173
HG03909	BEB	SAS	174	135	245587	263508
HG02804	GWD	AFR	238	143	278712	282201
HG01526	IBS	EUR	185	137	248873	250548
HG00526	CHS	EAS	161	146	225680	272688
